machine_id,auc,fc1,pa_k_auc
machine-1-1,0.8912705807576378,0.17319746697097302,0.173197466970973
machine-1-2,0.8858849948599754,0.36778523489932885,0.17266909043341086
machine-1-3,0.7583521150489765,0.15308641975308643,0.05883066472586124
machine-1-4,0.7650623064266358,0.2857142857142857,0.05140348005738743
machine-1-5,0.9097595419847329,0.62453531598513,0.49350735486086594
machine-1-6,0.9042982114010316,0.8793558017305965,0.7118865590366424
machine-1-7,0.8855242782511723,0.18391686160217816,0.18391686160217813
machine-1-8,0.5615524848889127,0.7734806629834253,0.2769891217110298
machine-2-1,0.709665922458015,0.09416877942774356,0.09416877942774354
machine-2-2,0.5603114473389749,0.21371454435727216,0.21371454435727216
machine-2-3,0.9177089091185965,0.022465341573409053,0.022465341573409056
machine-2-4,0.7182939400848731,0.9849108367626885,0.32712229687703365
machine-2-5,0.9187444034882675,0.6954436450839327,0.28517538768221273
machine-2-6,0.8701153287891793,0.6524064171122995,0.40132227431181633
machine-2-7,0.9371383690880766,0.9026733189366296,0.76887630959661
machine-2-8,0.9901324659143037,1.0,0.6111111111111112
machine-2-9,0.9570805770233641,0.11536186156576612,0.11536186156576614
machine-3-1,0.8781097357726182,0.39906103286384975,0.3520225294418843
machine-3-2,0.46346726983830083,0.08947878005486525,0.08947878005486523
machine-3-3,0.7647592366398799,0.6435536294691224,0.05388902981949152
machine-3-4,0.9322448739634688,0.5454545454545454,0.8655079001740498
machine-3-5,0.7865248888474333,0.42880703683342497,0.2515959674990367
machine-3-6,0.9415909764510253,0.9664804469273743,0.15387425551924494
machine-3-7,0.7196294466096769,0.33333333333333337,0.0
machine-3-8,0.8503343911305018,0.5395348837209303,0.19029259632985543
machine-3-9,0.8614024256244934,0.6666666666666666,0.41666666666666663
machine-3-10,0.8902195495070189,0.9359823399558499,0.671518170408227
machine-3-11,0.8524202125206551,0.888888888888889,0.003236245954692557
