machine_id,auc,fc1,pa_k_auc,f1_std,f1_pa,precision,recall
machine-1-1,0.8268256118891464,0.9333333333333333,0.173197466970973,0.17319746697097302,0.8872366790582404,0.09480907971142002,1.0
machine-1-2,0.8451148555482444,0.6666666666666665,0.23695908171298002,0.2584493041749503,0.903225806451613,0.2801724137931034,0.23985239852398524
machine-1-3,0.715022872390174,0.15384615384615385,0.08714870993875408,0.09595959595959595,0.4717948717948718,0.07312379730596537,0.13953488372093023
machine-1-4,0.7785873983739837,0.39779005524861877,0.10788311861564552,0.11369509043927649,0.5210256410256411,0.8148148148148148,0.06111111111111111
machine-1-5,0.9241215012722648,0.7272727272727273,0.5088698431530674,0.5269461077844312,0.7499999999999999,0.6567164179104478,0.44
machine-1-6,0.887079735253951,0.9330945375463733,0.5894906815413088,0.6557687111591461,0.9964845862628448,0.6570113697888468,0.6545307443365695
machine-1-7,0.7729083472514411,0.8443328550932567,0.18391686160217813,0.18391686160217816,0.9943855271366189,0.101271168545969,1.0
machine-1-8,0.5780240861217164,0.8797996661101836,0.31527360004768124,0.3322615219721329,0.9786666666666667,0.9117647058823529,0.20314547837483618
machine-2-1,0.6443020196152138,0.7399538106235566,0.09416877942774357,0.13884555382215288,0.9603485838779957,0.7946428571428571,0.07606837606837606
machine-2-2,0.5802510164698002,0.9001097694840834,0.2137145443572722,0.2137145443572722,0.997008622206581,0.11964187676844461,1.0
machine-2-3,0.8912321424856837,0.5714285714285715,0.11903024142973119,0.14482758620689656,0.6909975669099756,1.0,0.07806691449814127
machine-2-4,0.615720790873574,0.48369230769230775,0.3060503703938646,0.311665949203616,0.7119393556538218,0.575516693163752,0.21369539551357733
machine-2-5,0.8995699002067788,0.9324586977648203,0.2896847270830904,0.31130063965884863,0.9738219895287958,0.5128805620608899,0.22346938775510203
machine-2-6,0.8484579010433604,0.8135593220338982,0.31880347341002585,0.3324742268041237,0.944649446494465,0.3664772727272727,0.30424528301886794
machine-2-7,0.9456228337194407,0.9066239804863175,0.7976086001806199,0.8046272493573264,0.9407744874715261,0.8670360110803325,0.750599520383693
machine-2-8,0.9991319295434192,1.0,0.8646296296296296,0.9205298013245033,1.0,0.9858156028368794,0.8633540372670807
machine-2-9,0.7708602904761466,0.8218029350104821,0.31097929066588387,0.33169129720853857,0.997716894977169,0.593245227606461,0.2301994301994302
machine-3-1,0.9177764662357808,0.6590038314176245,0.5004323285539484,0.5812619502868069,0.9061946902654867,0.7069767441860465,0.4935064935064935
machine-3-2,0.5733912732006593,0.7272727272727272,0.10092522248977456,0.10869565217391304,0.9927667269439422,0.06773262269598046,0.2750225428313796
machine-3-3,0.7867821393108055,0.8235294117647058,0.10232874571761182,0.1375,0.9601275917065389,0.3273809523809524,0.08702531645569621
machine-3-4,0.9789265559978343,0.9931454683929932,0.7506427193514138,0.8048916064480267,0.9954151808456445,0.8807785888077859,0.7410440122824974
machine-3-5,0.7871377371190822,0.3963457484188334,0.13432076047263486,0.16291161178509533,0.7686567164179104,0.31125827814569534,0.11032863849765258
machine-3-6,0.8981123988577185,0.9490196078431373,0.15123965992760618,0.1822289156626506,0.994585589337776,0.9029850746268657,0.10134003350083752
machine-3-7,0.6256070438794932,0.33333333333333337,0.07679194630872482,0.11713665943600868,0.8348993288590603,1.0,0.06221198156682028
machine-3-8,0.8110093727513661,0.9823529411764705,0.2911766139687817,0.3166063114330057,0.9978165938864628,0.5444839857651246,0.22319474835886213
machine-3-9,0.8946093135874269,0.695067264573991,0.4739158508196005,0.5434782608695652,0.8566037735849056,0.7961783439490446,0.41254125412541254
machine-3-10,0.901179997207212,0.6265060240963856,0.7104300076870108,0.718803910293272,0.8804695837780149,0.903179190751445,0.5969436485195797
machine-3-11,0.8579142375500457,1.0,0.16930927145001656,0.28205128205128205,1.0,0.9166666666666666,0.16666666666666666
