machine_id,auc,fc1,pa_k_auc
machine-1-1,0.8900853881837593,0.17319746697097302,0.173197466970973
machine-1-2,0.849251674295635,0.24732229795520932,0.10630914178258272
machine-1-3,0.7465612181676486,0.15308641975308643,0.05883066472586124
machine-1-4,0.7907789815621369,0.2857142857142857,0.05140348005738743
machine-1-5,0.9067472434266327,0.62453531598513,0.49350735486086594
machine-1-6,0.8877971500985955,0.880926290218238,0.6299502465822248
machine-1-7,0.8351471451438991,0.18391686160217816,0.18391686160217813
machine-1-8,0.5405976985384204,0.722934472934473,0.281038365626773
machine-2-1,0.6871115971249245,0.09416877942774356,0.09416877942774354
machine-2-2,0.5585077847950453,0.21371454435727216,0.21371454435727216
machine-2-3,0.9293008608573575,0.022465341573409053,0.022465341573409056
machine-2-4,0.7421006133451243,0.8944954128440367,0.3186836340581117
machine-2-5,0.9066790883754382,0.6902857142857143,0.30479180697501224
machine-2-6,0.8608757553967382,0.6524064171122995,0.40132227431181633
machine-2-7,0.9447077423819445,0.9007576325857025,0.7637516534505707
machine-2-8,0.9899359814544022,1.0,0.6111111111111112
machine-2-9,0.9577747442888433,0.11536186156576612,0.11536186156576614
machine-3-1,0.8666578450459427,0.39906103286384975,0.3520225294418843
machine-3-2,0.38811131162944035,0.08947878005486525,0.08947878005486523
machine-3-3,0.7892153181143151,0.6285714285714286,0.053739547935269756
machine-3-4,0.9327188643202773,0.5454545454545454,0.8604185585892823
machine-3-5,0.790959887359477,0.4286883010635396,0.25102437000189226
machine-3-6,0.951783903138957,0.9666666666666666,0.15387425551924494
machine-3-7,0.7227707426310201,0.33333333333333337,0.0
machine-3-8,0.8506396836883764,0.551293487957181,0.21181901987851465
machine-3-9,0.8663055138394801,0.6666666666666666,0.41666666666666663
machine-3-10,0.8791979963835549,0.9370360186967281,0.6274877582919623
machine-3-11,0.8541376219169996,0.888888888888889,0.003236245954692557
