machine_id,auc,fc1,pa_k_auc
machine-1-1,0.8053520201466575,1.0,0.173197466970973
machine-1-2,0.8374984331138151,0.595307917888563,0.29403847322028703
machine-1-3,0.5726667830536112,0.21748400852878466,0.12343004846263092
machine-1-4,0.7548702453542393,0.15384615384615385,0.1012793733681462
machine-1-5,0.9067595419847327,0.7272727272727273,0.4834957712692829
machine-1-6,0.8525167975186837,0.9017556431386601,0.5723989124831975
machine-1-7,0.7864144277578682,0.2666666666666667,0.18391686160217813
machine-1-8,0.4571571202500607,0.18181818181818182,0.26887403739316146
machine-2-1,0.6614264695273137,0.7249466950959489,0.09416877942774357
machine-2-2,0.5486492862094396,0.9187279151943463,0.2137145443572722
machine-2-3,0.89799206327404,0.7368421052631579,0.2129537453530454
machine-2-4,0.473947250536485,0.5290023201856148,0.30581978902350654
machine-2-5,0.7984517666097276,0.6907540394973071,0.320025229725015
machine-2-6,0.839653463828925,0.5415162454873647,0.36455742792514756
machine-2-7,0.9437424483316671,0.8104685521317011,0.8176267754794907
machine-2-8,0.996906426124616,1.0,0.8514893617021276
machine-2-9,0.698948397558941,0.6920722375267829,0.2909963893354106
machine-3-1,0.7529992747345728,0.4,0.39016812434180553
machine-3-2,0.53143208372546,0.5714285714285715,0.10044532024507521
machine-3-3,0.6782058302101504,0.8495981630309989,0.12879760534185325
machine-3-4,0.5848815132309515,0.9575289575289575,0.19875238639178608
machine-3-5,0.7654936239956294,0.2947368421052632,0.09255831662156988
machine-3-6,0.8791848157984283,0.7467994310099573,0.11637099761697743
machine-3-7,0.6569845500213296,0.5714285714285715,0.06328436339074638
machine-3-8,0.8460178824441176,0.6881061766207248,0.39287933700545347
machine-3-9,0.708825012008762,0.6666666666666666,0.4130066815144766
machine-3-10,0.8884610383929847,0.5343511450381679,0.8395667539272091
machine-3-11,0.8561210900889205,0.8,0.3453803959774383
