machine_id,auc,fc1,pa_k_auc
machine-1-3,0.7458350578569993,0.15308641975308643,0.05883066472586124
machine-1-4,0.8032982179152149,0.2857142857142857,0.05140348005738743
machine-1-8,0.5455145244354649,0.7496370047707945,0.28930833104371545
machine-2-1,0.7175936241062851,0.09416877942774356,0.09416877942774354
machine-2-2,0.5636282013048153,0.21371454435727216,0.21371454435727216
machine-2-3,0.9185971898000479,0.022465341573409053,0.022465341573409056
machine-2-9,0.9639300807261576,0.11536186156576612,0.11536186156576614
machine-3-2,0.33058309658583024,0.08940170250534554,0.08936372808595751
machine-3-3,0.7598808650301628,0.6435536294691224,0.05388902981949152
machine-3-7,0.7238652901946359,0.33333333333333337,0.0
machine-3-11,0.8528922894747858,0.888888888888889,0.003236245954692557
