machine_id,auc,fc1,pa_k_auc
machine-1-1,0.8617469644448578,0.9333333333333333,0.173197466970973
machine-1-2,0.8515181970905196,0.6614173228346457,0.2393876311849563
machine-1-3,0.6592490600844122,0.15384615384615385,0.08239076234168868
machine-1-4,0.7519769284746419,0.2857142857142857,0.10131549908836882
machine-1-5,0.9236348600508906,0.7272727272727273,0.5088698431530674
machine-1-6,0.8865330894211985,0.9499366042955392,0.6108972185572361
machine-1-7,0.7609183176564062,0.8036391205458681,0.18391686160217813
machine-1-8,0.5731043721456272,0.8751031182973108,0.31242008146197464
machine-2-1,0.641757870196342,0.6949241234955521,0.09416877942774357
machine-2-2,0.5518938333953809,0.9195402298850575,0.2137145443572722
machine-2-3,0.8940627630483493,0.5714285714285715,0.11903024142973119
machine-2-4,0.6520193675893998,0.4698795180722891,0.30474230340051456
machine-2-5,0.902819046120651,0.9500000000000001,0.29725100193541304
machine-2-6,0.8387657810275795,0.8113879003558719,0.32482826048033087
machine-2-7,0.9444382764862347,0.9122780275893606,0.8038847103915696
machine-2-8,0.9995058838380704,1.0,0.844753086419753
machine-2-9,0.729352625306855,0.8217761557177615,0.3129308505338686
machine-3-1,0.9192233341330789,0.6590038314176245,0.5004323285539484
machine-3-2,0.5350606895647475,0.711864406779661,0.09307793427996448
machine-3-3,0.7856638072882571,0.8235294117647058,0.08972374896284817
machine-3-4,0.9794128317374583,0.9954198473282443,0.7576777024506987
machine-3-5,0.7852687063581569,0.3217341699942955,0.12683792152856016
machine-3-6,0.9333591130556341,0.9494163424124513,0.15123965992760618
machine-3-7,0.7028672185044632,0.33333333333333337,0.07679194630872482
machine-3-8,0.8387364933023324,0.9794871794871796,0.29519443176141547
machine-3-9,0.907395256780428,0.697986577181208,0.4746416785586541
machine-3-10,0.8566697603397191,0.49913399464651237,0.4809832763751009
machine-3-11,0.8563531820274815,1.0,0.16930927145001656
