machine_id,auc,fc1,pa_k_auc
machine-1-1,0.8222053119278272,0.8854961832061068,0.07421386900299655
machine-1-2,0.8644775020660571,0.31732776617954067,0.17671799405087893
machine-1-3,0.6153984317528425,0.27905268955388285,0.10814707152350492
machine-1-4,0.7654145797038328,0.15384615384615385,0.1000870322019147
machine-1-5,0.884539016115352,0.6540880503144654,0.47499700532197064
machine-1-6,0.8808736559662491,0.8339493605834799,0.619386686219329
machine-1-7,0.8423294903444816,0.18391686160217816,0.18391686160217813
machine-1-8,0.48281338474228414,0.1802773497688752,0.24143204833761697
machine-2-1,0.7169841703782176,0.719906505648617,0.11417489274279553
machine-2-2,0.5683560140848345,0.21371454435727216,0.21371454435727216
machine-2-3,0.850764716932386,0.7135135135135136,0.1560481674107336
machine-2-4,0.5742451781325693,0.6741838683277258,0.3170358476589548
machine-2-5,0.6469023195181156,0.6800960718989695,0.277360868871902
machine-2-6,0.8553547282437741,0.6522911051212938,0.40132227431181633
machine-2-7,0.9396567515793496,0.8032854209445586,0.8098645569852423
machine-2-8,0.9956876414707918,0.9731543624161073,0.9215488215488215
machine-2-9,0.7432932110496475,0.6962162162162162,0.2585584806409907
machine-3-1,0.7412983029521599,0.39906103286384975,0.3520225294418843
machine-3-2,0.4838429292293522,0.09395025524057783,0.08959325034017963
machine-3-3,0.785901512913062,0.611579699785561,0.07705560702716092
machine-3-4,0.6073181838858968,0.5678627145085804,0.11731249112780166
machine-3-5,0.7537503770364511,0.1261682242990654,0.023868312757201648
machine-3-6,0.921598646360365,0.8247011952191234,0.08136384575713931
machine-3-7,0.6264316672340406,0.5714285714285715,0.001763668430335097
machine-3-8,0.8030426449647394,0.6234309623430961,0.3718863610098162
machine-3-9,0.7431648942327347,0.6666666666666666,0.41666666666666663
machine-3-10,0.8666470352834446,0.46447783342608046,0.6782605760873551
machine-3-11,0.850856496410335,0.5131578947368421,0.2795759452106201
